game_number,x1,x2,x3,x4,x5,x6,y
BT_316394980_22_F_PlayerNmber2.csv,2.4123,1.0,2,13,6,42.303604,0
BT_316394980_22_F_PlayerNmber2.csv,2.4123,0.0,2,13,6,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.4123,0.0,2,13,6,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.4123,0.0,2,13,6,42.303604,0
BT_316394980_22_F_PlayerNmber2.csv,2.4123,0.0,2,13,6,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,1.8743,1.0,1,10,3,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,1.8743,1.0,1,10,3,42.303604,0
BT_316394980_22_F_PlayerNmber2.csv,1.8743,0.0,1,10,3,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.4557,1.0,2,8,4,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.4557,0.0,2,8,4,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.4557,0.0,2,8,4,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.4557,0.0,2,8,4,42.303604,1
BT_313245581_24_M_PlayerNmber2.csv,1.7246,1.0,0,12,5,18.41195,1
BT_313245581_24_M_PlayerNmber2.csv,1.7246,1.0,0,12,5,18.41195,0
BT_313245581_24_M_PlayerNmber2.csv,1.7246,0.0,0,12,5,18.41195,1
BT_313245581_24_M_PlayerNmber2.csv,1.7246,0.0,0,12,5,18.41195,0
BT_313245581_24_M_PlayerNmber2.csv,1.7246,0.0,0,12,5,18.41195,0
BT_313245581_24_M_PlayerNmber2.csv,2.0975,1.0,0,12,4,18.41195,1
